"","trial","binnumb","binstart","binend","in_testing","trialstart","offertime","offer_type","completiontime","nosepokestart","nosepokeend","CA1.1","CA1.2","CA1.3","CA1.4","CA1.5","CA1.6","CA1.7","CA1.8","CA1.9","CA1.10","CA1.11","CA1.12","CA1.13","CA1.14","CA1.15","CA3.1","CA3.2","CA3.3","CA3.4","CA3.5","CA3.6","CA3.7","CA3.8","CA3.9","CA3.10","CA3.11","CA3.12","CA3.13","CA3.14","CA3.15","CA3.16","CA3.17","CA3.18","CA3.19","CA3.20","CA3.21"
"87",7,37,605.365125,605.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,0,0,2,5,1,1,0,1,0,0,2,0,0,0,0,3,2,8,15,3,0,13,4,9,3,7,1,0,0,2,0,3,12,8
"88",7,38,605.865125,606.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,1,0,4,1,1,1,0,1,0,1,0,1,3,4,5,9,1,6,10,16,0,16,7,6,3,9,1,0,0,7,0,1,18,12
"89",7,39,606.365125,606.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,1,0,0,0,4,1,4,1,0,0,2,6,3,4,6,1,10,5,14,16,6,0,20,15,11,5,12,0,0,1,9,5,4,11,18
"90",7,40,606.865125,607.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,1,0,1,2,0,3,0,1,0,2,1,6,2,2,0,7,3,14,21,6,0,21,22,11,2,11,0,0,0,6,0,2,6,12
"91",7,41,607.365125,607.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,0,1,2,6,0,7,2,5,0,0,4,2,3,3,1,13,3,25,20,3,0,14,27,16,8,13,2,0,0,0,0,0,12,15
"92",7,42,607.865125,608.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,2,0,0,3,0,3,0,5,0,0,3,3,0,4,6,7,2,11,10,7,0,6,13,6,7,8,1,0,0,1,0,0,5,7
"93",7,43,608.365125,608.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,0,0,1,1,3,3,0,6,0,3,1,4,0,2,2,4,4,8,11,4,0,10,15,6,4,13,0,0,0,2,0,3,9,12
"94",7,44,608.865125,609.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,4,0,0,1,0,0,0,2,0,2,0,0,2,7,0,3,1,6,2,12,11,8,0,10,9,10,4,13,4,0,0,1,0,1,5,10
"95",7,45,609.365125,609.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,0,0,0,4,0,2,0,4,0,2,1,6,2,2,5,5,2,4,8,5,0,8,11,8,4,15,0,0,0,1,0,1,7,5
"96",7,46,609.865125,610.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,3,0,0,0,0,2,0,5,0,1,0,0,0,2,3,1,4,5,0,7,11,12,0,12,15,2,3,6,2,0,0,0,1,1,4,8
"97",7,47,610.365125,610.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,1,0,0,0,1,1,2,0,1,0,0,2,1,4,8,6,7,1,10,8,1,0,10,8,10,1,8,2,0,0,0,0,0,1,10
"98",7,48,610.865125,611.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,0,0,1,0,0,1,7,0,0,0,0,0,2,3,6,6,6,2,12,15,2,0,10,18,12,3,7,1,0,0,2,0,1,5,6
"99",7,49,611.365125,611.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,1,0,0,0,1,0,5,0,2,0,0,6,1,4,8,10,10,2,7,11,9,0,12,17,4,1,8,0,0,0,3,0,3,7,11
"100",7,50,611.865125,612.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,0,0,0,2,1,8,0,1,0,0,1,1,6,36,5,12,1,11,19,10,0,8,8,8,4,8,1,0,0,6,0,2,7,11
"101",7,51,612.365125,612.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,1,0,0,2,4,6,0,0,0,0,1,10,5,82,5,14,1,19,18,1,0,22,3,8,6,18,3,0,0,5,3,2,11,15
"102",7,52,612.865125,613.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,1,0,2,1,0,5,6,1,0,1,0,3,0,16,1,56,2,6,0,16,14,3,0,19,7,8,3,11,1,0,0,1,0,0,7,13
"103",7,53,613.365125,613.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,0,0,0,1,0,4,0,1,0,0,5,5,3,5,4,12,4,11,11,11,0,11,4,16,0,8,1,0,0,0,0,1,9,9
"104",7,54,613.865125,614.365125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,0,0,0,1,0,0,1,1,0,6,0,0,0,3,2,5,4,7,0,6,10,0,0,12,15,8,4,6,1,0,0,0,0,0,2,7
"105",7,55,614.365125,614.865125,TRUE,587.365125,597.42645,"B",633.709225,605.942425,632.035875,2,1,0,0,0,0,2,1,0,7,0,0,0,4,3,4,2,7,2,10,13,0,0,10,14,7,3,11,2,0,0,0,0,0,5,6
